wals code,name,latitude,longitude,genus,family,subfamily,iso codes
bmb,Bimoba,10.5,0.0,Gur,Niger-Congo,,bim
bmn,Bamun,5.5,10.9166666667,Bantoid,Niger-Congo,Benue-Congo,bax
bmr,Burum,-6.5,147.333333333,Finisterre-Huon,Trans-New Guinea,,bmu
bmz,Berber (Mzab),32.5,3.5,Berber,Afro-Asiatic,,mzb
bna,Banawá,-7.0,-65.0,Arauan,Arauan,,jaa
bnb,Bunuba,-17.75,125.75,Bunuban,Australian,,bck
bnd,Bandi,8.08333333333,-10.25,Western Mande,Niger-Congo,Mande,bza
bng,Baining,-4.58333333333,152.0,Baining,Baining-Taulil,,byx
bni,Bini,6.41666666667,5.83333333333,Edoid,Niger-Congo,Benue-Congo,bin
bnj,Bandjalang,-28.75,153.0,Pama-Nyungan,Australian,,bdy
bnk,Bankon,4.41666666667,9.58333333333,Bantoid,Niger-Congo,Benue-Congo,abb
bnl,Banggarla,-32.0,137.0,Pama-Nyungan,Australian,,bjb
bnm,Binumarien,-6.28333333333,146.083333333,Eastern Highlands,Trans-New Guinea,,bjr
bnn,Banoni,-6.41666666667,155.25,Oceanic,Austronesian,Eastern Malayo-Polynesian,bcm
bno,Barasano (Northern),0.333333333333,-70.25,Tucanoan,Tucanoan,,bao
bnq,Beng,7.83333333333,-4.25,Eastern Mande,Niger-Congo,Mande,nhb
bnr,Bilinara,-16.0,131.666666667,Pama-Nyungan,Australian,,nbj
bnt,Bantik,1.41666666667,124.75,Sulawesi,Austronesian,,bnq
bnu,Bularnu,-21.0,138.0,Pama-Nyungan,Australian,,
bnw,Baniwa,2.66666666667,-66.8333333333,Arawakan,Arawakan,,bwi
boa,Boazi,-7.0,141.333333333,Marind Proper,Marind,,kvg
bob,Bobangi,-1.33333333333,17.3333333333,Bantoid,Niger-Congo,Benue-Congo,bni
bod,Bodo,26.8333333333,92.0,Bodo-Garo,Sino-Tibetan,Tibeto-Burman,brx
boi,Boiken,-3.5,143.5,Middle Sepik,Sepik,,bzf
boj,Bori,28.3333333333,94.75,Tani,Sino-Tibetan,Tibeto-Burman,adi
bok,Boko,10.5,3.5,Eastern Mande,Niger-Congo,Mande,bqc
bol,Bolia,-1.25,18.3333333333,Bantoid,Niger-Congo,Benue-Congo,bli
bon,Bongu,-5.5,145.916666667,Madang,Trans-New Guinea,,bpu
boq,Bokar,28.5,94.6666666667,Tani,Sino-Tibetan,Tibeto-Burman,adi
bor,Bora,-2.16666666667,-72.3333333333,Boran,Huitotoan,,boa
bos,Bosnian,43.0,18.0,Slavic,Indo-European,,bos
bou,Berber (Wargla),31.9166666667,5.33333333333,Berber,Afro-Asiatic,,oua
boz,Bozo (Tigemaxo),15.0,-4.0,Western Mande,Niger-Congo,Mande,boz
bpa,Bura-Pabir,10.5,12.25,Biu-Mandara,Afro-Asiatic,Chadic,bwr
bpb,Bahnar (Plei Bong-Mang Yang),13.8333333333,108.333333333,Bahnaric,Austro-Asiatic,Mon-Khmer,bdq
bqb,Basque (Bidasoa Valley),43.0,-3.83333333333,Basque,Basque,,eus
bqg,Basque (Gernica),43.3333333333,-3.0,Basque,Basque,,eus
bqh,Basque (Hondarribia),42.5,-3.0,Basque,Basque,,eus
bqi,Basque (Basaburua and Imoz),43.0,-1.66666666667,Basque,Basque,,eus
bql,Basque (Lekeitio),43.0,-2.5,Basque,Basque,,eus
bqn,Basque (Northern High Navarrese),43.3333333333,-2.5,Basque,Basque,,eus
bqo,Basque (Oñati),42.5,-3.5,Basque,Basque,,eus
bqr,Basque (Roncalese),43.0,-2.0,Basque,Basque,,eus
bqs,Basque (Sakana),42.5,-2.0,Basque,Basque,,eus
bqz,Basque (Zeberio),42.0,-3.0,Basque,Basque,,eus
bra,Brao,14.1666666667,107.5,Bahnaric,Austro-Asiatic,Mon-Khmer,brb
brb,Bariba,10.0,2.5,Gur,Niger-Congo,,bba
brc,Boruca,8.83333333333,-83.25,Talamanca,Chibchan,,brn
