auth, geo, gen, feat
7.481948, 0.276477, 0.316838, 0.500000
7.870821, 0.187818, 0.397314, 0.480000
8.110807, 0.062539, 0.397314, 0.506667
7.481948, 0.259084, 0.340059, 0.520000
7.960292, 0.092487, 0.457555, 0.540000
7.481948, 0.168219, 0.346650, 0.520000
7.481948, 0.269092, 0.316838, 0.580000
7.481895, 0.046630, 0.316838, 0.280000
7.481948, 0.140985, 0.346650, 0.520000
8.110807, 0.122196, 0.434008, 0.620000
7.658923, 0.145750, 0.228854, 0.620000
7.481948, 0.735421, 0.346650, 0.540000
7.481948, 0.154766, 0.340059, 0.640000
7.658872, 0.194112, 0.337032, 0.573333
7.870821, 0.141800, 0.397314, 0.593333
7.481948, 0.491240, 0.346650, 0.600000
7.481948, 0.195478, 0.346650, 0.640000
7.481948, 0.309289, 0.340059, 0.440000
7.481948, 0.246165, 0.296573, 0.320000
7.481942, 0.119441, 0.316838, 0.520000
7.870821, 0.107503, 0.397314, 0.520000
8.110807, 0.086235, 0.457555, 0.540000
7.481948, 0.134240, 0.266037, 0.600000
7.481948, 0.147735, 0.330589, 0.526667
7.481948, 0.258931, 0.316838, 0.600000
7.481948, 0.095883, 0.340059, 0.400000
7.481948, 0.513409, 0.346650, 0.500000
7.481948, 0.131070, 0.316838, 0.580000
7.481948, 0.140611, 0.316838, 0.606667
7.481895, 0.051890, 0.330589, 0.266667
7.481948, 0.127210, 0.340059, 0.260000
7.870778, 0.153518, 0.434008, 0.480000
7.481948, 0.207817, 0.340059, 0.540000
7.481948, 0.147099, 0.346650, 0.460000
7.481948, 0.261107, 0.340059, 0.606667
8.110807, 0.138023, 0.473182, 0.673333
7.481948, 0.271959, 0.316838, 0.506667
7.481948, 0.277601, 0.346650, 0.560000
7.720418, 0.038422, 0.397314, 0.500000
7.560378, 0.060894, 0.140283, 0.480000
7.481948, 0.165862, 0.346650, 0.620000
7.481948, 0.260596, 0.340059, 0.500000
7.481948, 0.123390, 0.340059, 0.473333
7.481948, 0.137844, 0.330589, 0.540000
7.560493, 0.202169, 0.140283, 0.560000
7.560493, 0.283697, 0.140283, 0.400000
7.560493, 0.289292, 0.140283, 0.500000
7.560378, 0.048220, 0.140283, 0.446667
7.560493, 0.215449, 0.140283, 0.446667
7.560493, 0.601616, 0.140283, 0.620000
7.960190, 0.063324, 0.337032, 0.400000
7.560493, 0.140758, 0.140283, 0.493333
7.560493, 0.289908, 0.140283, 0.540000
8.110705, 0.112396, 0.337032, 0.666667
7.560493, 0.284675, 0.140283, 0.540000
7.560493, 0.249548, 0.140283, 0.473333
